Priority,UPC,Item Name,Brand,Vendors,Vendor List,Min Price,Avg Price
308,3386460149112,"LACOSTE BLANC (M) 5.9 EDT SP",N/A,5,"Aairie; Acme; United; Classic; Perfume Price",38.5,39.42
309,8011003889433,"MOSCHINO TOY BOY SET 3.4oz EDP-S/GEL-10ML TRAVEL SP (M)",N/A,5,"Nandansons; United; BS; Classic; Perfume Price",38.5,42.75
310,8057971180370,"Dolce & Gabbana Light Blue Pour Homme EDT for Men | 4.2 oz / 125 ml",Dolce & Gabbana,5,"Nandansons; BS; Classic; Perfume Price; Luxury",39.5,44.00
311,3439600055726,"Thierry Mugler Angel Men EDT for Men | 3.4 oz / 100 ml - Refillable",Thierry Mugler,5,"Aairie; Cosmo; Nandansons; Classic; Perfume Price",40,41.96
312,8005610298924,"Hugo Boss The Scent For Her Eau de Parfum 100ml",N/A,5,"Acme; United; Classic; French; Perfume Price",41,42.57
313,8057971185498,"DG KING 3.4 EDP M + 1.7 S/G+ 1.7 A/S BALM  (118238)",N/A,5,"Nandansons; Network; Classic; French; Perfume Price",41,43.57
314,8057971180547,"Dolce & Gabbana The One EDP for Men | 3.3 oz / 100 ml",Dolce & Gabbana,5,"Acme; BS; Classic; Perfume Price; Luxury",41.5,45.54
315,8011003993826,"Gianni Versace Versace Bright Crystal EDT for Women | 3 oz / 90 ml",Versace,5,"Aairie; Acme; Cosmo; Classic; Perfume Price",42,43.94
316,3386460135245,"JIMMY CHOO AQUA EDT SP 6.7oz",N/A,5,"Aairie; Network; BS; Classic; Fragrance Depot",42,46.10
317,8011003809219,"Gianni Versace Versace Eros EDT for Men | 3.4 oz / 100 ml",Gianni Versace,5,"Aairie; United; BS; Haz; Fragrance Depot",43,44.90
318,3423222055639,"NARCISO RODRIGUEZ Narciso Cristal Wom EDP��(90ml)",N/A,5,"Nandansons; United; BS; Perfume Price; Fragrance Depot",43,47.00
319,3349668614479,"OLYMPEA  FLORA - Paco Rabanne - EAU DE PARFUM SPRAY 2.7 oz Women",JIMMY CHOO,5,"Aairie; Acme; Cosmo; United; Haz",43.5,46.21
320,3423222055547,"NARCISO RODRIGUEZ For Her Musc Noire Rose EDP (100ml)",N/A,5,"Cosmo; United; BS; Perfume Price; Fragrance Depot",43.75,46.45
321,8411061055182,"CH CH PASSION 3.4 EDP SP M",N/A,5,"Nandansons; United; BS; Haz; Perfume Price",43.9,46.98
322,3386460073233,"Jimmy Choo Man EDT for Men | 6.7 oz / 200 ml",Jimmy Choo,5,"United; BS; Classic; Perfume Price; Fragrance Depot",44,45.70
323,8057971184910,"DG THE ONLY ONE ( W ) EDP SP 3.3 OZ",N/A,5,"Aairie; Acme; BS; Haz; Luxury",45,50.92
324,8435415012638,"Jean Paul Gaultier Le Male EDT for Men | 2.5 oz / 75 ml - SPR",Jean Paul Gaultier,5,"Acme; Nandansons; Haz; Classic; Perfume Price",45,48.14
325,3423470890129,"Narciso Rodriguez EDP for Women | 3.3 oz / 100 ml",Narciso Rodriguez,5,"Cosmo; BS; Classic; Perfume Price; Fragrance Depot",46.5,49.15
326,3616305820846,"GUCCI GUILTY BLACK ESSENCE 3.0 M",N/A,5,"Acme; Nandansons; BS; Luxury; Fragrance Depot",47,55.33
327,737052339047,"Gucci Guilty EDT for Men | 3 oz / 90 ml",N/A,5,"Aairie; Nandansons; Haz; Classic; Luxury",48,53.33
328,3614272872387,"VIKTOR & ROLF FLOWERBOMB DEW 3.4 EDP W",N/A,5,"Cosmo; United; BS; French; Fragrance Depot",48,56.29
329,8054754400670,"DOLCE & GABBANA Light Blue Gift Set For Women  3.3 oz EDT, 1.7 Body Cream and 0.33 oz EDT, spray",N/A,5,"Nandansons; BS; Haz; Classic; Luxury",48,52.67
330,8411061055199,"CH CH PASSION 3.4 EDP SP L",N/A,5,"Nandansons; BS; Haz; Perfume Price; Fragrance Depot",48.5,55.17
331,8011003826490,"VERSACE Dylan Blue Men EDT (200ml)",N/A,5,"Aairie; BS; Classic; Perfume Price; Fragrance Depot",48.75,51.95
332,608940585818,"YOUR TURN 3.4 EDP U",N/A,5,"Aairie; Nandansons; Haz; Classic; Perfume Price",49,51.17
333,3616301976141,"GUCCI Guilty Pour Femme Wom EDT (90ml)",N/A,5,"Aairie; Acme; Classic; Luxury; Fragrance Depot",51,59.54
334,8011003813858,"Gianni Versace Versace Eros EDT for Men | 6.7 oz / 200 ml",Gianni Versace,5,"Acme; Nandansons; BS; Classic; Fragrance Depot",51,53.00
335,8057971188208,"D&G light blue edt vapo",N/A,5,"Aairie; Nandansons; BS; Classic; Luxury",51.25,57.13
336,3365440316560,"L'Homme Yves Saint Laurent EDT for Men | 3.3 oz / 100 ml - SPR",Yves Saint Laurent,5,"Aairie; Nandansons; French; Haz; Fragrance Depot",51.5,55.36
337,8435415017190,"JPG LE BEAU 2.5 EDT M  (ONLY WITH PURCHASE OF RM)",N/A,5,"Aairie; Nandansons; BS; Haz; Classic",52.5,54.83
338,3614222402077,"TIFFANY & CO Tiffany Wom EDP (75ml)",N/A,5,"Aairie; Acme; Nandansons; Haz; Classic",53,56.86
339,8057971180554,"Dolce & Gabbana The One Eau De Parfum for Men | 5 oz / 150 ml - Spray",Dolce & Gabbana,5,"Nandansons; BS; Haz; Classic; Luxury",54,57.95
340,3616301975755,"BURBBERY HER(L) 3.4OZ EDT",N/A,5,"Aairie; Acme; Nandansons; Classic; Fragrance Depot",55,59.43
341,3614229829044,"MY BURBERRY BLUSH (L) 3.0 OZ EDP SPRAY",Gucci,5,"Aairie; Acme; Nandansons; Classic; Luxury",55,61.86
342,3349668582297,"Paco Rabanne Phantom Eau De Toilette for Men | 3.4 oz / 100 ml - Spray",Paco Rabanne,5,"Aairie; Acme; United; Classic; Fragrance Depot",56,58.75
343,3274872447561,"GIVENCHY Irresistible Rose Velvet Wom EDP (80ml)",N/A,5,"Aairie; BS; Classic; Luxury; Fragrance Depot",58,68.50
344,8011003890804,"VERSACE Eros Energy Pour Homme EDP (100ml)",N/A,5,"Aairie; BS; Haz; Classic; Fragrance Depot",58.5,62.20
345,8435415076937,"JPG LE MALE ELIXIR 2.5 EDP M (ONLY WITH PURCHASE OF RM)",N/A,5,"Aairie; Nandansons; Haz; Classic; Fragrance Depot",59.5,67.67
346,3349668617050,"Paco Rabanne 1 Million Royal M 3.4 Parfum spr",N/A,5,"Aairie; Nandansons; United; Haz; Fragrance Depot",61,67.00
347,3614273261425,"Valentino Uomo Born In Roma Yellow Dream Eau De Toilette for Men | 3.4 oz / 100 ml - Spray",Valentino,5,"Aairie; Acme; Nandansons; Classic; Fragrance Depot",63,65.36
348,3349668614592,"PACO RABANNE "PHANTOM" PARFUM 3.3 OZ SPR [M]",N/A,5,"Acme; United; Haz; Classic; Fragrance Depot",64,67.33
349,8435415017206,"JPG LE BEAU 4.2 EDT M  (ONLY WITH PURCHASE OF RM)",N/A,5,"Aairie; Nandansons; Haz; Classic; Fragrance Depot",65,69.17
350,8411061991886,"Carolina Herrera Bad Boy Le Parfum Eau De Parfum for Men | 3.4 oz / 100 ml - Spray",Carolina Herrera,5,"Aairie; Acme; Haz; Classic; Luxury",65,69.71
351,3616303470791,"GUCCI FLORA GORGEOUS MAGNOLIA EDP 3.3 W",N/A,5,"Aairie; Nandansons; United; Classic; Fragrance Depot",65,68.00
352,3614273261401,"Valentino Donna Born In Roma Yellow Dream Eau De Parfum for Women | 3.4 oz / 100 ml - Spray",Valentino,5,"Acme; Nandansons; French; Classic; Fragrance Depot",65,73.50
353,3346470143166,"GUERLAIN Samsara  Wom EDP (75ml)",DIOR,5,"Nandansons; BS; Classic; Luxury; Fragrance Depot",66,74.92
354,3614274024807,"VAL BORN IN ROMA GREEN 3.4 M",N/A,5,"Aairie; Nandansons; Haz; Classic; Fragrance Depot",67,73.42
355,3616304967122,"BURBERRY GODDESS INTENSE L 3.4 *EDP* SPRAY",N/A,5,"Nandansons; BS; Classic; Luxury; Fragrance Depot",74,86.50
356,8435415032315,"JEAN PAUL GAULTTER LE MALE LE PARFUM INTENSE EDP 125ML",Bodycology,5,"Aairie; Acme; Nandansons; Classic; Fragrance Depot",76,81.64
357,3614272648425,"YSL LIBRE 3.0 EDP W",N/A,5,"Aairie; Nandansons; Haz; Classic; Fragrance Depot",83,85.33
358,3365440787971,"Yves Saint Laurent Black Opium EDP for Women | 3 oz / 90 ml - SPR",Yves Saint Laurent,5,"Aairie; Nandansons; Haz; Classic; Fragrance Depot",84.5,87.58
359,3348901567572,"CD Sauvage Elixir M 2.0 spr",N/A,5,"Acme; Nandansons; Fragrance Depot; French; Classic",130,133.57
360,3508440251848,"CREED QUEEN OF SILK (W) EDP 75ML",N/A,5,"Aairie; Classic; Fragrance Depot; BS; Haz",180,196.33
361,883991111418,"SEAN JOHN UNFORGIVABLE W BODY SPRAY 8.0",N/A,4,"Network; French; TJS; Haz",0.6,2.37
362,840797123397,"SOFIA VERGARA W LOST IN PARADISE W BODY SPRAY 8.0",N/A,4,"Cosmo; French; Haz; General",0.85,2.61
363,5425017732129,"Champs Cuba Blue EDT for Men | 1.17 oz / 35 ml - SPR",Champs,4,"BS; Network; CBS; Heritage",2,2.39
364,608940581513,"PARIS HILTON ELECTRIFY W BODY SPRAY 8.0",N/A,4,"BS; Network; French; General",2,3.42
365,603531240640,"Vicky Tiel 21 Bonaparte 1964 Eau De Parfum for Women | 3.4 oz / 100 ml - Spray",Vicky Tiel,4,"Cosmo; Network; French; BS",4.05,6.21
366,8411114091150,"DISNEY AIR VAL PRINCESS RAPUNZEL EDT SP 3.4oz",N/A,4,"BS; General; ET; MTZ",5.5,5.67
367,663350092745,"DISNEY PRINCESS AURORA ( Kids ) EDT SP 3.4 OZ - 9274",N/A,4,"BS; General; ET; MTZ",5.5,5.67
368,716393017883,"Halston 1-12 Cologne for Men | 4.2 oz / 125 ml",Halston,4,"BS; Network; General; Perfume Center",5.7,6.28
369,3357554720012,"Gloria Vanderbilt Vanderbilt EDT for Women | 3.4 oz / 100 ml",Gloria Vanderbilt,4,"CBS; BS; General; Perfume Center",6,7.06
370,812256021674,"ARIANA GRANDE ARI BODY MIST 236ML",N/A,4,"Network; General; MTZ; Perfume Center",6.25,7.20
371,4085400291001,"Diesel Plus Plus Eau De Toilette Spray 2.5 Oz / 75 Ml for Men by Diesel",Diesel,4,"Network; BS; Heritage; Luxury",6.5,8.65
372,4085400271003,"Diesel Zero Plus Feminine EDT for Women | 2.5 oz / 75 ml - SPR",Diesel,4,"Network; CBS; Heritage; Luxury",6.5,8.80
373,3355991000223,"Jacques Bogart One Man Show EDT for Men | 3.3 oz / 100 ml",Jacques Bogart,4,"Network; BS; MTZ; Perfume Center",6.75,7.23
374,3600550814262,"Gloria Vanderbilt Minuit � New York Eau de Parfum 100ml",N/A,4,"BS; Heritage; General; Perfume Center",6.75,8.13
375,98691025884,"LUCKY YOU - COLOGNE 3.4 OZ SP TESTER M",N/A,4,"Cosmo; Network; BS; Perfume Center",6.95,7.88
376,31655095004,"Coty Exclamation Cologne for Women | 1.7 oz / 50 ml",Coty,4,"Cosmo; BS; General; Luxury",7.3,9.07
377,6294015155709,"ARMAF VENETIAN GOLD LTD 3.4 EDP SP",REVER,4,"Acme; BS; MTZ; Luxury",8,14.31
378,6294015160741,"ARMAF VENETIAN GIRL EDITION ROUGE EDP SP 3.4oz",N/A,4,"Acme; BS; Perfume Price; Luxury",8,15.75
379,3616303461966,"DAVID B CLASSIC (M) EDT SP 3.4oz",N/A,4,"BS; General; MTZ; Luxury",8.25,9.70
380,6291108737101,"LATTAFA VELVET ROSE 3.4 EDP U  (123491)3",N/A,4,"Acme; French; PWW; MTZ",8.5,11.30
381,6291108739020,"LATTAFA QAED AL FURSAN UNLIMITED (U) EDP 90",N/A,4,"French; PWW; MTZ; Classic",8.75,11.54
382,98691026225,"Liz Claiborne Curve Crush EDT for Women | 3.3 oz / 100 ml - Tester",Liz Claiborne,4,"Cosmo; Network; BS; Perfume Center",8.95,10.12
383,719346010016,"Elizabeth Taylor Passion EDT for Women | 1.5 oz / 45 ml - SPR",Elizabeth Taylor,4,"Cosmo; PWW; BS; Perfume Center",9,9.82
384,67724271109,"SUNG SHI EDP SP 1.7oz",N/A,4,"Cosmo; PWW; BS; Perfume Center",9,9.99
385,85805268848,"Elizabeth Arden Green Tea Scent EDP for Women | 3.3 oz / 100 ml",N/A,4,"Network; PWW; BS; Perfume Center",9,10.50
386,719346552875,"Britney Spears Hidden Fantasy EDP for Women | 3.4 oz / 100 ml",Britney Spears,4,"Network; PWW; BS; Perfume Center",9,11.05
387,608940578643,"JESSICA SIMPSON FANCY FOREVER W EDP/S LIMITED EDITION 3.4",N/A,4,"French; PWW; BS; Classic",9,12.43
388,3614223930722,"NAUTICA BLUE SAIL MEN 3.4 EDT SP   ",N/A,4,"French; PWW; Haz; Perfume Center",9,10.50
389,6085010094953,"ARMAF SHADESWOOD (M) 3.4oz SP",N/A,4,"PWW; BS; French; MTZ",9,11.75
390,3610400038304,"CIGAR MYSTIC OUD 3.4 EDP  (128716)",N/A,4,"PWW; BS; MTZ; Perfume Center",9,9.42
391,6290362342489,"LATTAFA - LAIL MALEKI MOROCCAN BLUE 3.4 EDP SP.",N/A,4,"PWW; French; MTZ; Perfume Center",9,10.81
392,98691046254,"Liz Claiborne Curve Connect Cologne for Men | 4.2 oz / 125 ml",N/A,4,"Network; PWW; Classic; Perfume Center",9.25,11.24
393,98691030482,"Liz Claiborne Curve Wave Cologne for Men | 4.2 oz / 125 ml",N/A,4,"Network; PWW; ET; Perfume Center",9.25,10.47
394,719346250436,"BS FESTIVE FANTASY EDT SP 3.4oz",PENHALIGON'S,4,"PWW; BS; MTZ; Perfume Center",9.25,11.17
395,85805785345,"Elizabeth Arden Ardenbeauty EDP for Women | 3.3 oz / 100 ml - SPR",N/A,4,"Network; PWW; Haz; Perfume Center",9.45,10.93
396,719346567442,"Britney Spears Circus Fantasy EDP for Women | 3.3 oz / 100 ml",Britney Spears,4,"PWW; MTZ; Luxury; Perfume Center",9.75,12.66
397,716393029329,"Paul Sebastian Ps Cologne for Men | 4 oz / 120 ml - Tester",Paul Sebastian,4,"Cosmo; BS; Classic; Perfume Center",9.85,11.10
398,6290360598666,"Lattafa Asad Zanzibar 3.4 edp spr",N/A,4,"Cosmo; ET; Classic; Perfume Center",9.9,11.53
399,6291107450582,"Lattafa Qimmah Men Eau de Parfum 100ml",N/A,4,"French; PWW; MTZ; Perfume Center",9.95,11.69
400,31655531908,"Nautica Voyage EDT for Men | 3.4 oz / 100 ml",Nautica,4,"Cosmo; Network; Haz; ET",10,10.21
401,614514253083,"RASASI [W] JUNOON LEATHER 1.67 Oz EAU DE PARFUM SPR",N/A,4,"PWW; United; MTZ; Perfume Center",10,14.25
402,6291106069525,"LATTAFA VELVET OUD 3.4 EDP SPR (M)",N/A,4,"PWW; French; ET; MTZ",10,12.25
403,6085010094670,"ARMAF TRES JOUR EDP SP 3.4oz",CHI,4,"CBS; French; MTZ; Luxury",10.25,13.25
404,3610400037185,"LOMANI AB SPIRIT MILLIONAIRE WHITE GOLD (M) EDP SP 3.3oz",N/A,4,"PWW; BS; MTZ; Perfume Center",10.45,11.59
405,98691021770,"Liz Claiborne Bora Bora EDP for Women | 3.4 oz / 100 ml",N/A,4,"Network; PWW; Classic; Perfume Center",10.5,11.97
406,614514338049,"RASASI QASAMAT-RASANA M 2.2 EDP SP.",PERRIS MONTE CARLO,4,"French; PWW; United; Perfume Center",10.5,13.08
407,608940540800,"Marc Ecko EDT for Men | 3.4 oz / 100 ml - SPR",Marc Ecko,4,"French; PWW; BS; Perfume Center",10.5,11.83
408,719346034425,"Curious Britney Spears EDP for Women | 3.3 oz / 100 ml",Britney Spears,4,"PWW; Classic; Luxury; Perfume Center",10.75,13.91
409,3442151008769,"THALLIUM BLACK EDT SP 3.4oz",N/A,4,"Cosmo; Network; PWW; BS",11,11.99
410,3442151009223,"THALLIUM SPORT LIM EDIT EDT SP 3.4oz",N/A,4,"Network; CBS; BS; MTZ",11,11.45
411,85715267245,"HOLLISTER CANYON SKY 3.4oz EDP SP (L)..",N/A,4,"PWW; ET; Luxury; Perfume Center",11,12.96
412,719346020480,"Halston Cologne for Women | 3.4 oz / 100 ml",Halston,4,"PWW; BS; Classic; Perfume Center",11,12.80
413,856515004213,"Hummer Chrome EDT 4.2 oz Spray M",N/A,4,"PWW; CBS; BS; Perfume Center",11,12.39
414,3614273532990,"Paloma Picasso Eau de Toilette 50ml",Clarins,4,"Cosmo; French; MTZ; Perfume Center",11.2,11.74
415,3607348938230,"NAUTICA VOYAGE N-83 ( M ) EDT SP 3.4 OZ",N/A,4,"French; PWW; ET; MTZ",11.25,11.98
416,3614224686833,"NAUTICA VOYAGE HERITAGE - EAU DE TOILETTE SPRAY 3.3 oz / 100 ml Men",N/A,4,"PWW; ET; MTZ; Classic",11.25,12.66
417,3274872404199,"KENZO [W] FLOWER 1.7 Oz EAU DE PARFUM SPR *** TESTER [NO CAP]",N/A,4,"Network; MTZ; Classic; Perfume Center",11.5,14.50
418,6294015189629,"ARMAF ODYSSEY AOUD 2.0 EDP M (128644)",N/A,4,"PWW; BS; MTZ; Perfume Center",11.5,12.93
419,719346094665,"Britney Spears Midnight Fantasy EDP for Women | 3.3 oz / 100 ml",Britney Spears,4,"Cosmo; PWW; BS; Perfume Center",11.75,13.63
420,85805063665,"Elizabeth Arden Mediterranean EDP for Women | 3.3 oz / 100 ml",Elizabeth Arden,4,"Cosmo; PWW; BS; Perfume Center",11.9,12.98
421,614514402047,"RASASI NAFAEIS AL SHAGHAF W 3.4 OZ EDP SP.",PERRIS MONTE CARLO,4,"French; PWW; United; Perfume Center",11.9,13.70
422,6291108732489,"Lattafa Ajwad Eau de Parfum 60ml",Pacifica,4,"PWW; CBS; MTZ; Luxury",12,15.38
423,6290360598970,"LATTAFA MAYAR NATURAL INTENSE 100ML EDP SPRAY",N/A,4,"PWW; United; French; MTZ",12,16.06
424,3610400035679,"LOMANI AB SPIRIT MILLONAIRE (M) EDT SP 6.6oz",N/A,4,"PWW; BS; Classic; Perfume Center",12.15,14.01
425,603531784090,"Tommy Bahama St Barts EDC for Men | 3.4 oz / 100 ml",Tommy Bahama,4,"PWW; BS; French; Perfume Center",12.25,13.25
426,716393810125,"Paul Sebastian Design Parfum for Women | 3.4 oz / 100 ml",Paul Sebastian,4,"PWW; BS; Classic; Perfume Center",12.25,14.00
427,844061000544,"Perry Ellis 360 Red M 1.7",N/A,4,"Cosmo; PWW; BS; Classic",12.5,14.18
428,6291108735770,"MAISON ALHAMBRA [M] TOSCANO LEATHER 2.7 Oz EAU DE PARFUM SPR [BLACK]",N/A,4,"PWW; French; ET; MTZ",12.5,13.63
429,6085010094663,"ARMAF TRES NUIT",N/A,4,"CBS; ET; MTZ; Classic",12.95,14.30
430,6294015168174,"ARMAF MISS GRANDEUR EDP SP 3.4oz",N/A,4,"Acme; BS; French; MTZ",13,16.90
431,6294015168143,"ARMAF MISS MISTIQUE EDP SP 3.4oz",N/A,4,"Acme; BS; French; Perfume Price",13,19.20
432,88300601387,"CK ETERNITY L 1.0OZ EDP SPRAY",N/A,4,"Haz; ET; MTZ; Classic",13,15.75
433,719346128063,"Juicy Couture Couture Couture EDP for Women | 1.7 oz / 50 ml",Juicy Couture,4,"Cosmo; PWW; CBS; BS",13.45,15.24
434,8431754002019,"HALLOWEEN Tester ( Men ) EDT SP 4.2 OZ",N/A,4,"CBS; Haz; ET; Perfume Price",13.5,19.25
435,22548006719,"Aramis EDT for Men | 3.7 oz / 110 ml",N/A,4,"ET; MTZ; Classic; Luxury",13.5,16.69
436,3616302015580,"Ck Free M 3.4 edt spr",N/A,4,"Cosmo; CBS; Haz; Luxury",13.75,17.20
437,6290360591520,"LATTAFA LIAM BLUE SHINE 3.4 EDP SPR (M)",N/A,4,"French; ET; MTZ; Classic",13.75,15.19
438,8018365260757,"Gianni Versace Blue Jeans EDT for Men | 2.5 oz / 75 ml",Versace,4,"Cosmo; Network; CBS; MTZ",13.95,15.22
439,3607344163773,"Zino Davidoff Hot Water EDT for Men | 3.7 oz / 110 ml",Davidoff,4,"CBS; Haz; French; MTZ",13.95,14.43
440,6291108738092,"LATTAFA HALA 3.4 EDP SPR (M)",N/A,4,"United; French; MTZ; Classic",14,18.50
441,6294015163896,"ARMAF TAG UOMO NERO 3.4 EAU DE PARFUM SPRAY FOR MEN",N/A,4,"CBS; BS; French; MTZ",14.5,16.38
442,3360372017332,"Guy Laroche Drakkar Noir EDT for Men | 6.7 oz / 200 ml",Guy Laroche,4,"Cosmo; Network; BS; Luxury",14.75,20.45
443,6294015188653,"ARMAF ODYSSEY SPECTRA RAINBOW EDITION (M) EDP 100ML",ARMAF,4,"BS; Perfume Center; MTZ; Classic",14.95,16.61
444,6294015168112,"ARMAF MISS ATTITUDE EDP SP 3.4oz",N/A,4,"Acme; BS; CBS; Classic",15,19.65
445,8011003616008,"MOSCHINO Cheap & Chic Wom EDT TST (100ml)",N/A,4,"Cosmo; CBS; MTZ; Classic",15,17.56
446,6291108735411,"Lattafa Asad Eau de Parfum 100ml",N/A,4,"Network; French; ET; Classic",15,16.70
447,6291107456058,"Lattafa Fakhar Lattafa Eau de Parfum 100ml",N/A,4,"French; Perfume Center; MTZ; Classic",15,15.94
448,8011003807871,"MOSCHINO PINK BOUQUET EDT SP 3.4oz",N/A,4,"BS; CBS; ET; MTZ",15,18.69
449,98691043161,"Juicy Couture EDP for Women | 1 oz / 30 ml",Juicy Couture,4,"Cosmo; Haz; Perfume Center; Classic",15.25,17.00
450,8011003991143,"MOSCHINO I Love Love EDT for Women | 1.7 oz / 50 ml",MOSCHINO,4,"Cosmo; Network; French; Perfume Center",15.5,15.93
451,608940575307,"Paris Hilton Platinum Rush Eau De Parfum Spray for Women | 3.4 oz / 100 ml - Spray",Paris Hilton,4,"Cosmo; United; BS; Perfume Center",15.5,16.94
452,837015000523,"Fred Hayman Touch EDT for Women | 3.4 oz / 100 ml",Fred Hayman,4,"Cosmo; BS; Perfume Center; Perfume Price",15.5,17.06
453,608940561737,"Kenneth Cole Black EDP for Women | 3.4 oz / 100 ml - SPR",Kenneth Cole,4,"Network; CBS; BS; Classic",15.5,17.00
454,855560005022,"SEAN JOHN UNFORGIVABLE M EDT/S 2.5",Burberry,4,"Network; Classic; French; Perfume Center",15.5,18.79
455,844061013919,"PERRY ELLIS VERY PURPLE L 3.4OZ EDP SPRAY - NEW",N/A,4,"United; BS; Perfume Center; Perfume Price",16.4,16.98
456,6085010094151,"ARMAF CLUB DE NUIT L 3.6 EDP SPRAY",CHI,4,"Network; CBS; Classic; Perfume Price",16.5,18.00
457,873824001023,"John Varvatos EDT for Men | 2.5 oz / 75 ml",John Varvatos,4,"Cosmo; Classic; French; Perfume Center",16.75,18.67
458,855560005091,"Sean John Unforgivable Woman Parfum for Women | 4.2 oz / 125 ml - SPR",Sean John,4,"Network; Classic; BS; Perfume Center",16.75,20.38
459,3614229823790,"Hugo Boss Hugo EDT for Men | 2.5 oz / 75 ml",Hugo Boss,4,"Acme; Classic; Haz; Perfume Price",17,18.75
460,85715950116,"Donna Karan Dkny Golden Delicious EDP for Women | 3.4 oz / 100 ml - SPR",Donna Karan,4,"Cosmo; United; Perfume Center; Perfume Price",17,21.44
461,737052238128,"Hugo Boss Boss Orange EDT for Women | 2.5 oz / 75 ml",Hugo Boss,4,"United; BS; Perfume Center; Perfume Price",17,19.56
462,844061000513,"Perry Ellis 360 Black EDT for Men | 3.3 oz / 100 ml - SPR",Perry Ellis,4,"United; Classic; Perfume Center; Perfume Price",17.25,19.15
463,608940535387,"Fancy Jessica Simpson EDP for Women | 3.4 oz / 100 ml",Jessica Simpson,4,"Classic; BS; French; Perfume Center",17.25,18.75
464,3614228834896,"ETERNITY COLOGNE/CALVIN KLEIN EDT SPRAY 3.4 OZ (100 ML) (M)",N/A,4,"Haz; French; Perfume Center; Perfume Price",17.4,18.41
465,98691036507,"Juicy Couture EDP for Women | 1.7 oz / 50 ml",Juicy Couture,4,"Cosmo; Classic; BS; Perfume Center",17.5,19.59
466,85715801555,"Alfred Dunhill Desire Blue EDT for Men | 3.4 oz / 100 ml",N/A,4,"Network; United; Classic; Perfume Center",17.5,20.17
467,3616301623359,"Hugo Boss Boss Orange Man Eau De Toilette for Men | 3.3 oz / 100 ml - Spray - New Packaging",Hugo Boss,4,"United; CBS; Haz; French",17.5,18.56
468,20714156893,"Clinique Happy Parfum for Women | 3.4 oz / 100 ml",N/A,4,"United; CBS; Perfume Center; Luxury",17.5,22.00
469,20714080310,"Clinique Happy Cologne for Men | 3.4 oz / 100 ml",Clinique,4,"CBS; Haz; ET; Luxury",17.5,22.50
470,3386460028325,"Mont Blanc Presence EDT for Men | 2.5 oz / 75 ml",Mont Blanc,4,"Cosmo; Network; CBS; Classic",17.75,19.17
471,3386460149419,"Tester Lacoste Essential 4.1 EDT Sp Men (New UPC)",N/A,4,"Cosmo; Classic; French; Perfume Price",17.75,21.10
472,6290362340638,"LATTAFA - ECLAIRE 3.4 EDP SP.",N/A,4,"United; Classic; Perfume Center; Perfume Price",17.75,20.25
473,3386460028424,"Mont Blanc Femme Individuel EDT for Women | 2.5 oz / 75 ml",Mont Blanc,4,"Cosmo; ET; Perfume Center; Classic",18,19.06
474,8032529110146,"Salvatore Ferragamo Subtil Pour Homme EDT for Men | 3.4 oz / 100 ml",Salvatore Ferragamo,4,"United; CBS; Perfume Center; Luxury",18,21.94
475,3386460028394,"Mont Blanc Individuel EDT for Men | 2.5 oz / 75 ml - SPR",Mont Blanc,4,"United; CBS; Classic; Perfume Center",18,21.10
476,8011003809196,"Gianni Versace Versace Eros EDT for Men | 1 oz / 30 ml",Gianni Versace,4,"Cosmo; Haz; Perfume Center; PWW",18.45,23.69
477,3386460149402,"Tester Lacoste Red 4.1 EDT Sp Men",N/A,4,"Cosmo; Classic; French; Perfume Price",18.5,20.51
478,737052057989,"Hugo Boss Boss EDP for Women | 3 oz / 90 ml",Hugo Boss,4,"Cosmo; United; French; Perfume Center",18.5,20.25
479,646875431527,"Salvatore Ferragamo EDT for Men | 3.4 oz / 100 ml",Salvatore Ferragamo,4,"United; Classic; Perfume Center; Perfume Price",18.75,20.35
480,3423470486018,"Issey Miyake L'Eau De Issey Intense EDT for Men | 4.2 oz / 125 ml",Issey Miyake,4,"Cosmo; Classic; ET; Perfume Center",19,21.68
481,719346128070,"Juicy Couture Couture Couture EDP for Women | 3.4 oz / 100 ml",Juicy Couture,4,"United; Classic; Perfume Center; Perfume Price",19,21.40
482,3351500011476,"AZZARO Pour Homme EDT (100ml)",N/A,4,"Cosmo; CBS; Classic; Perfume Price",19.25,20.20
483,3760060764164,"NITRO INTENSE by DUMONT 3.4 EDP SPR",N/A,4,"United; Classic; French; Perfume Center",19.25,21.05
484,6291100139668,"Al Haramain L'Aventure EDP for Men | 3.3 oz / 100 ml",Al Haramain,4,"United; Classic; Perfume Price; Luxury",19.45,24.09
485,3614227748606,"Burberry Touch EDP for Women | 1.7 oz / 50 ml",Burberry,4,"Network; Classic; Haz; Perfume Price",19.5,20.96
486,737052683553,"Hugo Boss Deep Red EDP for Women | 3 oz / 90 ml - SPR",Hugo Boss,4,"United; Classic; French; Perfume Center",19.5,21.30
487,22548289662,"Michael Kors Sexy Amber EDP for Women | 1.7 oz / 50 ml",Michael Kors,4,"BS; Classic; Haz; French",19.5,22.60
488,85715330444,"GUESS GIRL (W) SET EDT 100ML + EDT 15ML + BL 200ML",N/A,4,"CBS; Classic; French; Perfume Price",19.5,21.49
489,3274875303161,"GIVENCHY POUR HOMME 3.4 EDT SPR TESTER (MEN)",N/A,4,"Cosmo; Classic; Perfume Center; Perfume Price",19.9,25.21
